varname,kind,n_prov,min_support,median_support,n_prov_support1,pop_vs_unweighted_maxabs,pop_vs_unweighted_reldelta,pearson,spearman,rankshift_ge5,area_vs_pop_maxabs,area_vs_pop_spearman,area_vs_pop_rankshift_ge5
index_sdg16,index,112,1,3.0,15,12.599359920682218,0.2644284165656768,0.8974419875684145,0.8899528479174497,60,,,
index_sdg8,index,112,1,3.0,15,15.1314024852391,0.3151631150355102,0.9531121473147781,0.9314244712474802,63,,,
index_sdg17,index,112,1,3.0,15,15.70245543656611,0.3127693682829163,0.9244321986880296,0.9341664673523081,57,,,
index_sdg4,index,112,1,3.0,15,13.979438187573926,0.2562947924443959,0.9526453867517454,0.9389670960467421,56,,,
index_sdg5,index,112,1,3.0,15,11.339924017377257,0.34296744687549774,0.9364551809476945,0.9391721051013088,56,,,
index_sdg9,index,112,1,3.0,15,21.046941638105046,0.2964111421140066,0.9355114646431761,0.9394454505073975,61,,,
index_sdg6,index,112,1,3.0,15,31.61070407049686,0.36897219245632323,0.9311731869861762,0.9421191102607032,47,,,
imds,index,112,1,3.0,15,13.2965364681883,0.36621244962047506,0.9295870220834104,0.9436225099941914,54,,,
index_sdg2,index,112,1,3.0,15,19.775557353731834,0.47477327625502064,0.9445234345476461,0.9474812661920378,41,,,
index_sdg11,index,112,1,3.0,15,33.36785465647556,0.46466921965450864,0.9071456943038972,0.9480985410188951,51,,,
index_sdg1,index,112,1,3.0,15,37.09157972195935,0.47299728316034356,0.942790493459065,0.9544452796665186,47,,,
index_sdg3,index,112,1,3.0,15,7.4220226125463,0.22715525671440961,0.9689497060095664,0.956700379266751,37,,,
index_sdg13,index,112,1,3.0,15,20.39834738666761,0.29224544331593283,0.962163374430698,0.9579024022538815,37,,,
index_sdg7,index,112,1,3.0,15,22.551547068181144,0.3442569955396762,0.9454905796896668,0.9612532886869171,52,,,
index_sdg10,index,112,1,3.0,15,13.125944813872572,0.2179856659036949,0.9730396647392215,0.9687190350907166,39,,,
index_sdg15,index,112,1,3.0,15,23.502740686357228,0.2687136199791709,0.9652630991363877,0.9760472007641527,32,,,
sdg16_6_pbec,indicator,112,1,3.0,15,15.612433328091434,0.21593959447126765,0.9220841526491089,0.8882700652612157,80,,,
sdg6_1_dwc,indicator,112,1,3.0,15,32.86714458110484,0.5265332706859587,0.9086123275409316,0.8964191751802372,68,,,
sdg8_5_oprm,indicator,112,1,3.0,15,6.891199263398235,0.34995466009506954,0.9078113502632641,0.9106327546156905,68,,,
sdg17_5_pipc,indicator,112,1,3.0,15,1126.4105353186928,0.3453090946185117,0.9263449126732013,0.9129348452898951,68,,,
sdg8_10_dbb,indicator,112,1,3.0,15,21.6156427821037,0.47298998488213817,0.9122801719028525,0.9170952346198551,61,,,
sdg9_c_drb,indicator,112,1,3.0,15,2.8587999268538082,0.38632431548382357,0.9144983270645973,0.9175406338879689,43,,,
sdg1_2_mpi,indicator,112,1,3.0,15,0.13142581453947766,0.31514961929636615,0.9456940702099594,0.922884068791376,49,,,
sdg4_c_qti,indicator,112,1,3.0,15,33.46496151573842,0.33464961515738423,0.9356427907233869,0.9245428103222308,60,,,
sdg6_2_sc,indicator,112,1,3.0,15,40.72437107657108,0.4826394662576084,0.9101160184736359,0.9255899374292611,50,,,
sdg9_5_cd,indicator,112,1,3.0,15,9.216347148023212,0.2823874175034605,0.9746930558726472,0.9257131631072598,60,,,
sdg4_1_ssdrm,indicator,112,1,3.0,15,4.081568950972377,0.33931043542187245,0.9254411538466308,0.9344626036192604,51,,,
sdg7_1_ec,indicator,112,1,3.0,15,24.780557617456317,0.33874631555735935,0.9522560211179775,0.9394730828964493,56,,,
sdg16_9_cr,indicator,112,1,3.0,15,4.915622712037518,0.18284424230787064,0.9631195782068644,0.940518977440303,46,,,
sdg9_c_mnc,indicator,112,1,3.0,15,30.824811241700537,0.41734379691572965,0.933851859829688,0.940957392284826,49,,,
sdg5_1_gpsd,indicator,112,1,3.0,15,0.7941290564991959,0.2561706559496248,0.939406070201352,0.9410631539603,54,,,
sdg8_6_mlm,indicator,112,1,3.0,15,12.050075390309292,0.5304358239897418,0.9007477239845666,0.9411129073439497,52,,,
