idx,varname,varlabel
0,prov_id,Province code (first 3 digits of mun_id)
1,prov,Province name
2,dep,Department name
3,dep_id,Department ID
4,dep_prov,Department-Province label
5,imds,Municipal Sustainable Development Index
6,rank_imds,Bolivia Index Ranking
7,population_2020,Population 2020
8,urbano_2012,"Urbanization rate, 2012 (% of population)"
9,sdg1_1_eepr,"Extreme energy poverty rate, 2016 (% of houses)"
10,sdg1_1_ubn,"Unsatisfied basic needs, 2012 (% of population)"
11,sdg1_2_mpi,"Multidimensional poverty index, 2012"
12,sdg1_4_abs,"Access to the 3 basic services, 2012 (% of households)"
13,sdg2_2_cmc,"Chronic malnutrition in children (< 5 years), 2016 (%)"
14,sdg2_2_oww,"Obesity in women (15-49 years), 2016 (%)"
15,sdg2_4_pual,"Average area per Production Unit Agriculture and Livestock, 2013 (ha)"
16,sdg2_4_td,"Tractor density, 2013 (per 1,000 UPAs)"
17,sdg3_1_idca,"Institutional childbirth coverage, average 2008-2012 (%)"
18,sdg3_2_imr,"Infant mortality rate (< 1 year), 2016 (per. 1,000 live births)"
19,sdg3_2_mrc,"Children mortality rate in (< 5 years), 2016 (per. 1,000 live births)"
20,sdg3_3_cdir,"Chagas disease infestation rate, 2017 (% of households)"
21,sdg3_3_di,"Dengue incidence, 2018 (per 10,000 population)"
22,sdg3_3_imr,"Malaria incidence, average 2014-17 (per 1,000 population)"
23,sdg3_3_ti,"Tuberculosis incidence, 2017 (per 100,000 population)"
24,sdg3_3_hivi,"HIV incidence, average 2014-17 (per 1,000,00 population)"
25,sdg3_7_afr,"Adolescent fertility rate (15-19 years), 2012 (births per 1,000 women)"
26,sdg4_1_ssdrm,"Secondary school dropout rate, male, 2017 (% of enrolled)"
27,sdg4_1_ssdrf,"Secondary school dropout rate, females, 2017 (% of enrolled)"
28,sdg4_4_phe,"Population with higher education (>= 19 years), 2012 (%)"
29,sdg4_6_lr,"Literacy rate for (>= 15 years), 2012 (%)"
30,sdg4_c_qti,"Qualified teachers at the initial level, 2016 (%)"
31,sdg4_c_qts,"Qualified teachers at the secondary level, 2016"
32,sdg5_1_gpsd,"Gender parity in school dropouts in  secondary school, 2017"
33,sdg5_1_gpyp,"Gender parity in years of education of young people (25-35 years old), 2012. (25"
34,sdg5_1_gpmpi,"Gender Parity in the Multidimensional Poverty Index, 2012"
35,sdg5_5_gpop,"Gender parity in the overall participation rate (>=10 years), 2012"
36,sdg6_1_dwc,"Drinking water coverage, 2017 (% of population)"
37,sdg6_2_sc,"Sanitation coverage, 2017 (% of population)"
38,sdg6_3_wwt,"Wastewater treatment, 2017 (% of wastewater) wastewater)"
39,sdg7_1_ec,"Electricity coverage, 2012 (% of population) population)"
40,sdg7_1_rec,"Residential electricity consumption per capita, 2016 (kWh/person/year)"
41,sdg7_1_cce,"Clean cooking energy, 2012 (% of households)"
42,sdg7_3_co2epc,"CO2 emissions per capita by energy, 2016. (tCO2/person/year)"
43,sdg8_4_rem,"Residential electric meters with zero consumption, 2016 (%)"
44,sdg8_5_oprm,"Overall participation rate males (>= 10 years), 2012 (%)"
45,sdg8_5_ofrm,"Overall female participation rate (>= 10 years), 2012 (%)"
46,sdg8_6_mlm,"Men who do not study or participate in the labor market (15-24 years), 2012 (%)"
47,sdg8_6_wlm,"Women who do not study or participate in the labor market (15-24 years),2012 (%)"
48,sdg8_10_dbb,"Density of bank branches, 2018 (per 100,000 inhabitants)"
