poly_id,asdf_id,mun,mun_id,dep,dep_id,prov_id,prov,dep_mun,dep_prov_mun,shapeID
178,0,Esmeralda,40505,Oruro,5,405,Litoral,Oruro-Esmeralda,Oruro-Litoral-Esmeralda,BOL-ADM3-33444609B20338026
169,1,Quillacas,40202,Oruro,5,402,Eduardo Avaroa,Oruro-Quillacas,Oruro-Eduardo Avaroa-Quillacas,BOL-ADM3-33444609B53994240
185,2,Pampa Aullagas,40802,Oruro,5,408,Ladislao Cabrera,Oruro-Pampa Aullagas,Oruro-Ladislao Cabrera-Pampa Aullagas,BOL-ADM3-33444609B27878331
205,3,Llallagua,50203,Potosí,7,502,Rafael Bustillo,Potosí-Llallagua,Potosí-Rafael Bustillo-Llallagua,BOL-ADM3-33444609B13957296
219,4,Caripuyo,50702,Potosí,7,507,Alonso de Ibáñez,Potosí-Caripuyo,Potosí-Alonso de Ibáñez-Caripuyo,BOL-ADM3-33444609B2060227
118,5,Aiquile,30201,Cochabamba,3,302,Campero,Cochabamba-Aiquile,Cochabamba-Campero-Aiquile,BOL-ADM3-33444609B22499454
218,6,Villa de Sacaca,50701,Potosí,7,507,Alonso de Ibáñez,Potosí-Villa de Sacaca,Potosí-Alonso de Ibáñez-Villa de Sacaca,BOL-ADM3-33444609B14646898
234,7,Acasio,51302,Potosí,7,513,Bilbao,Potosí-Acasio,Potosí-Bilbao-Acasio,BOL-ADM3-33444609B19396342
182,8,Huanuni,40701,Oruro,5,407,Pantaleón Dalence,Oruro-Huanuni,Oruro-Pantaleón Dalence-Huanuni,BOL-ADM3-33444609B48998442
174,9,Huachacalla,40501,Oruro,5,405,Litoral,Oruro-Huachacalla,Oruro-Litoral-Huachacalla,BOL-ADM3-33444609B43353864
194,10,Huari,41401,Oruro,5,414,Sebastián Pagador,Oruro-Huari,Oruro-Sebastián Pagador-Huari,BOL-ADM3-33444609B12212981
180,11,Pazña,40602,Oruro,5,406,Poopó,Oruro-Pazña,Oruro-Poopó-Pazña,BOL-ADM3-33444609B81698958
157,12,Villa Rivero,31402,Cochabamba,3,314,Punata,Cochabamba-Villa Rivero,Cochabamba-Punata-Villa Rivero,BOL-ADM3-33444609B39428862
191,13,Santiago de Andamarca,41201,Oruro,5,412,Sud Carangas,Oruro-Santiago de Andamarca,Oruro-Sud Carangas-Santiago de Andamarca,BOL-ADM3-33444609B55151365
112,14,Chacarilla,21803,La Paz,4,218,Gualberto Villarroel,La Paz-Chacarilla,La Paz-Gualberto Villarroel-Chacarilla,BOL-ADM3-33444609B33779243
126,15,Arbieto,30403,Cochabamba,3,304,Esteban Arze,Cochabamba-Arbieto,Cochabamba-Esteban Arze-Arbieto,BOL-ADM3-33444609B65270572
111,16,Papel Pampa,21802,La Paz,4,218,Gualberto Villarroel,La Paz-Papel Pampa,La Paz-Gualberto Villarroel-Papel Pampa,BOL-ADM3-33444609B96301403
95,17,Umala,21302,La Paz,4,213,Aroma,La Paz-Umala,La Paz-Aroma-Umala,BOL-ADM3-33444609B33786797
164,18,Oruro,40101,Oruro,5,401,Cercado,Oruro-Oruro,Oruro-Cercado-Oruro,BOL-ADM3-33444609B89522171
198,19,Huayllamarca,41601,Oruro,5,416,Nor Carangas,Oruro-Huayllamarca,Oruro-Nor Carangas-Huayllamarca,BOL-ADM3-33444609B49437729
110,20,San Pedro Cuarahuara,21801,La Paz,4,218,Gualberto Villarroel,La Paz-San Pedro Cuarahuara,La Paz-Gualberto Villarroel-San Pedro Cuarahuara,BOL-ADM3-33444609B90350398
134,21,Sicaya,30703,Cochabamba,3,307,Capinota,Cochabamba-Sicaya,Cochabamba-Capinota-Sicaya,BOL-ADM3-33444609B28043407
301,22,Puerto Quijarro,71402,Santa Cruz,8,714,Germán Busch,Santa Cruz-Puerto Quijarro,Santa Cruz-Germán Busch-Puerto Quijarro,BOL-ADM3-33444609B22047407
132,23,Capinota,30701,Cochabamba,3,307,Capinota,Cochabamba-Capinota,Cochabamba-Capinota-Capinota,BOL-ADM3-33444609B45253703
130,24,Arque,30601,Cochabamba,3,306,Arque,Cochabamba-Arque,Cochabamba-Arque-Arque,BOL-ADM3-33444609B98674568
41,25,Coro Coro,20301,La Paz,4,203,Pacajes,La Paz-Coro Coro,La Paz-Pacajes-Coro Coro,BOL-ADM3-33444609B17270625
158,26,San Benito,31403,Cochabamba,3,314,Punata,Cochabamba-San Benito,Cochabamba-Punata-San Benito,BOL-ADM3-33444609B19104054
75,27,Sapahaqui,20902,La Paz,4,209,Loayza,La Paz-Sapahaqui,La Paz-Loayza-Sapahaqui,BOL-ADM3-33444609B66518212
78,28,Cairoma,20905,La Paz,4,209,Loayza,La Paz-Cairoma,La Paz-Loayza-Cairoma,BOL-ADM3-33444609B10766550
82,29,Colquiri,21004,La Paz,4,210,Inquisivi,La Paz-Colquiri,La Paz-Inquisivi-Colquiri,BOL-ADM3-33444609B98493674
