prov_id,prov,dep,dep_id,gdppc1990,gdppc1991,gdppc1992,gdppc1993,gdppc1994,gdppc1995,gdppc1996,gdppc1997,gdppc1998,gdppc1999,gdppc2000,gdppc2001,gdppc2002,gdppc2003,gdppc2004,gdppc2005,gdppc2006,gdppc2007,gdppc2008,gdppc2009,gdppc2010,gdppc2011,gdppc2012,gdppc2013,gdppc2014,gdppc2015,gdppc2016,gdppc2017,gdppc2018,gdppc2019,gdppc2020,gdppc2021,gdppc2022,gdppc2023,gdppc2024
101,Oropeza,Chuquisaca,2,3767.0,3826.0,3037.0,3607.0,3615.0,3521.0,3526.0,3663.0,3379.0,3579.0,3479.0,3548.0,3591.0,3394.0,3394.0,3721.0,3996.0,4130.0,4468.0,4559.0,4718.0,4580.0,4956.0,5651.0,6068.0,6018.0,6353.0,7190.0,7306.0,7456.0,6819.0,7781.0,8421.0,8949.0,9039.0
102,Azurduy,Chuquisaca,2,1218.0,1254.0,2022.0,1678.0,1417.0,1519.0,1507.0,1532.0,1791.0,1866.0,1959.0,1979.0,1954.0,2000.0,2347.0,2532.0,2804.0,2970.0,2957.0,3052.0,3150.0,3030.0,3323.0,3543.0,3799.0,4035.0,4309.0,4804.0,4995.0,5270.0,4548.0,4472.0,5079.0,5324.0,5028.0
103,Zudáñez,Chuquisaca,2,1142.0,1180.0,1699.0,1436.0,1386.0,1171.0,1126.0,1132.0,2728.0,2865.0,3956.0,3913.0,3992.0,4179.0,3191.0,3418.0,4115.0,3301.0,3185.0,3197.0,3293.0,2796.0,3065.0,3289.0,3523.0,3641.0,3792.0,4274.0,4493.0,4583.0,4030.0,4661.0,5014.0,5282.0,5460.0
104,Tomina,Chuquisaca,2,1069.0,1109.0,1543.0,1414.0,1376.0,1507.0,1468.0,2131.0,4390.0,4560.0,3435.0,2560.0,2639.0,2857.0,3333.0,2356.0,2459.0,2615.0,2645.0,2727.0,2999.0,2863.0,3209.0,3495.0,3633.0,3735.0,3826.0,4109.0,4793.0,5232.0,4516.0,5321.0,6648.0,7024.0,7334.0
105,Hernando Siles,Chuquisaca,2,1361.0,1313.0,1787.0,1558.0,1520.0,1856.0,2105.0,2092.0,1283.0,1626.0,1664.0,1921.0,2100.0,2072.0,2232.0,2431.0,2514.0,2761.0,2852.0,2892.0,3011.0,2902.0,3223.0,3418.0,3370.0,3635.0,3696.0,3994.0,4449.0,4652.0,4055.0,4809.0,5186.0,6170.0,6509.0
106,Yamparáez,Chuquisaca,2,954.0,954.0,1299.0,1080.0,1044.0,1083.0,905.0,1216.0,943.0,987.0,780.0,1114.0,1124.0,1165.0,1871.0,1933.0,2043.0,2243.0,2916.0,2770.0,2926.0,2587.0,2987.0,3222.0,3365.0,3471.0,3546.0,4056.0,4512.0,4359.0,3713.0,4184.0,4782.0,4977.0,5232.0
107,Nor Cinti,Chuquisaca,2,1311.0,1392.0,1680.0,1303.0,1262.0,1345.0,1330.0,1364.0,1809.0,1923.0,2060.0,2197.0,2221.0,2404.0,3144.0,2664.0,2656.0,2881.0,3015.0,3027.0,3279.0,3238.0,3424.0,3715.0,3956.0,4024.0,4244.0,4697.0,5196.0,5118.0,4670.0,5113.0,5620.0,5218.0,5462.0
108,Belisario Boeto,Chuquisaca,2,1186.0,1259.0,1712.0,1491.0,1364.0,1318.0,1269.0,1336.0,1210.0,1697.0,1818.0,1872.0,1959.0,2010.0,2230.0,2396.0,2887.0,2768.0,3191.0,3288.0,3705.0,3663.0,3951.0,4316.0,4564.0,4570.0,4493.0,4695.0,4991.0,5258.0,4742.0,5526.0,6141.0,6470.0,6838.0
109,Sud Cinti,Chuquisaca,2,1279.0,1293.0,1654.0,1471.0,1415.0,1407.0,1319.0,1491.0,1441.0,2092.0,2158.0,2180.0,2138.0,2220.0,2298.0,2498.0,2679.0,2991.0,3045.0,3048.0,3202.0,3201.0,3433.0,3795.0,3908.0,4022.0,4192.0,4671.0,5140.0,5270.0,4016.0,4630.0,5028.0,5162.0,5798.0
110,Luis Calvo,Chuquisaca,2,1256.0,1382.0,1940.0,1639.0,1660.0,1916.0,1834.0,1971.0,1448.0,1458.0,1912.0,2040.0,1746.0,1808.0,2176.0,2359.0,2580.0,2536.0,2810.0,2881.0,3222.0,2927.0,3063.0,3392.0,3537.0,3915.0,3960.0,4265.0,4718.0,4811.0,4509.0,5333.0,5888.0,6232.0,6551.0
