prov_id,pop2001,pop2002,pop2003,pop2004,pop2005,pop2006,pop2007,pop2008,pop2009,pop2010,pop2011,pop2012,pop2013,pop2014,pop2015,pop2016,pop2017,pop2018,pop2019,pop2020
101,238004.166,242128.71300000002,246385.07,250421.824,253981.188,258350.644,262685.385,266931.698,271274.711,275601.21599999996,279928.118,283754.392,289124.82300000003,293975.976,299422.4930000001,303638.764,308238.7,313571.019,318609.67000000004,323894.937
102,27456.303,27232.944,27076.372,26772.733,26581.112,26358.084000000003,26199.982,25991.016,25770.15,25572.510000000002,25381.117,25135.438000000002,24929.529000000002,24717.512000000002,24549.900999999998,24339.225,24171.015,23978.845999999998,23780.15,23596.373
103,32411.865700000002,32894.5639,33235.7545,33741.7468,34341.2285,34856.6022,35415.0934,36118.3145,36753.587,37427.521,38005.424100000004,38723.216,39313.8965,40154.057400000005,40996.325899999996,41843.08,42826.548200000005,43586.8603,44527.5236,45429.5893
104,37255.2154,37071.9054,36841.990900000004,36754.3004,36563.5536,36367.3107,36152.3853,36004.7032,35849.2486,35729.8957,35536.3757,35426.7888,35347.6265,35209.9074,35102.1204,34962.9504,34804.9258,34723.5792,34625.5317,34521.4107
105,36429.032999999996,36071.691699999996,35707.717000000004,35348.898199999996,34964.625199999995,34662.178,34329.8617,33951.1775,33639.0494,33283.603,32965.7303,32661.034099999997,32318.7204,32027.8189,31670.031899999998,31404.2819,31082.7702,30780.047,30483.9589,30188.4475
106,31479.813000000002,31122.197,30880.807,30719.028,30647.747,30362.917999999998,30138.779,29900.199,29649.849000000002,29518.043,29473.569000000003,29620.119,29288.109,29058.866,28626.4,28688.913999999997,28641.97,28438.203999999998,28342.857,28276.084
107,68751.8714,69393.2056,70020.5528,70692.71459999999,71317.5828,71944.6308,72608.7219,73306.78880000001,74109.259,74930.25600000001,75646.198,76484.081,77279.77299999999,78106.109,79007.61600000001,79698.984,80493.933,81353.543,82217.859,83098.728
108,12278.948,12186.13,12079.739,11962.021,11882.662,11778.092,11693.521,11589.573,11477.662,11371.542,11287.266,11159.834,11054.075,10967.012,10895.383,10784.552,10690.68,10603.238,10514.526,10421.365
109,24353.1497,24436.3692,24545.543700000002,24664.9992,24769.9034,24856.6865,24988.914,25116.5381,25229.8471,25303.7024,25452.4431,25496.3581,25612.5508,25711.5255,25798.610800000002,25881.9341,26007.0743,26128.191899999998,26238.5089,26354.1231
110,20627.6048,20570.027700000002,20542.0847,20436.8208,20359.252500000002,20309.984,20250.116,20176.560100000002,20114.511,20037.889600000002,19971.8433,19964.0791,19941.8767,19860.83,19850.840900000003,19778.767900000003,19704.338099999997,19683.879399999998,19635.9702,19588.076999999997
201,1477359.352,1491242.4932,1507346.5455,1522427.042,1536289.206,1552920.1239999998,1570242.425,1587881.325,1605277.562,1621715.1630000002,1640213.613,1661341.112,1681898.833,1702300.8220000002,1724092.444,1744281.5380000002,1765474.9130000002,1789125.516,1812555.9670000002,1836577.1660000002
202,84764.9522,84662.2872,84482.86379999999,84373.7009,84192.7445,84041.1977,84007.9555,84061.8514,83914.5974,83877.38029999999,83768.23240000001,83475.2169,83430.64379999999,83387.14259999999,83288.932,83470.1754,83390.3939,83401.6443,83358.3725,83372.277
203,48473.613769999996,48801.394700000004,49221.66886,49597.0395,50086.21911,50563.79178,51061.18978,51650.11013,52294.23068,52907.39258,53612.09271,54297.71354,55162.255280000005,55951.61288,57081.29527,58057.44021,59183.56858,60427.36834,61742.15827,63172.6593
