prov_id,prov,capital,dep,dep_id,dep_prov,n_mun,gadm_name,sources
101,Oropeza,Sucre,Chuquisaca,2,Chuquisaca-Oropeza,3,Oropeza,https://es.wikipedia.org/wiki/Departamento_de_Chuquisaca ; https://es.wikipedia.org/wiki/Provincia_de_Oropeza ; https://www.educa.com.bo/content/departamento-chuquisaca
102,Azurduy,Azurduy,Chuquisaca,2,Chuquisaca-Azurduy,2,Azurduy,https://es.wikipedia.org/wiki/Departamento_de_Chuquisaca ; https://es.wikipedia.org/wiki/Provincia_de_Azurduy ; https://www.educa.com.bo/content/departamento-chuquisaca
103,Zudáñez,Zudáñez,Chuquisaca,2,Chuquisaca-Zudáñez,4,Zudáñez,https://es.wikipedia.org/wiki/Departamento_de_Chuquisaca ; https://es.wikipedia.org/wiki/Provincia_de_Zud%C3%A1%C3%B1ez ; https://www.educa.com.bo/content/departamento-chuquisaca
104,Tomina,Padilla,Chuquisaca,2,Chuquisaca-Tomina,5,Tomina,https://es.wikipedia.org/wiki/Departamento_de_Chuquisaca ; https://es.wikipedia.org/wiki/Provincia_de_Tomina ; https://www.educa.com.bo/content/departamento-chuquisaca
105,Hernando Siles,Monteagudo,Chuquisaca,2,Chuquisaca-Hernando Siles,2,Hernando Siles,https://es.wikipedia.org/wiki/Departamento_de_Chuquisaca ; https://es.wikipedia.org/wiki/Provincia_de_Hernando_Siles ; https://www.educa.com.bo/content/departamento-chuquisaca
106,Yamparáez,Tarabuco,Chuquisaca,2,Chuquisaca-Yamparáez,2,Yamparáez,https://es.wikipedia.org/wiki/Departamento_de_Chuquisaca ; https://es.wikipedia.org/wiki/Provincia_de_Yampar%C3%A1ez ; https://www.educa.com.bo/content/departamento-chuquisaca
107,Nor Cinti,Camargo,Chuquisaca,2,Chuquisaca-Nor Cinti,4,Nor Cinti,https://es.wikipedia.org/wiki/Departamento_de_Chuquisaca ; https://es.wikipedia.org/wiki/Provincia_de_Nor_Cinti ; https://www.educa.com.bo/content/departamento-chuquisaca
108,Belisario Boeto,Villa Serrano,Chuquisaca,2,Chuquisaca-Belisario Boeto,1,Belisario Boeto,https://es.wikipedia.org/wiki/Departamento_de_Chuquisaca ; https://es.wikipedia.org/wiki/Provincia_de_Belisario_Boeto ; https://www.educa.com.bo/content/departamento-chuquisaca
109,Sud Cinti,Villa Abecia,Chuquisaca,2,Chuquisaca-Sud Cinti,3,Sur Cinti,https://es.wikipedia.org/wiki/Departamento_de_Chuquisaca ; https://es.wikipedia.org/wiki/Provincia_de_Sud_Cinti ; https://www.educa.com.bo/content/departamento-chuquisaca
110,Luis Calvo,Villa Vaca Guzmán,Chuquisaca,2,Chuquisaca-Luis Calvo,3,Luis Calvo,https://es.wikipedia.org/wiki/Departamento_de_Chuquisaca ; https://es.wikipedia.org/wiki/Provincia_de_Luis_Calvo ; https://www.educa.com.bo/content/departamento-chuquisaca
201,Murillo,La Paz,La Paz,4,La Paz-Murillo,5,Murillo,https://es.wikipedia.org/wiki/Departamento_de_La_Paz_(Bolivia) ; https://es.wikipedia.org/wiki/Provincia_de_Murillo ; https://www.educa.com.bo/content/departamento-de-la-paz
